batch_size,max_length,pooling_method,use_stopwords,replace_username,replace_covid,best_val_accuracy
128,50,max_pooling,False,True,pandemic,0.6406003159557662
128,50,max_pooling,False,False,none,0.6416535018430753
128,50,max_pooling,False,False,virus,0.6450763559768299
128,50,max_pooling,False,False,pandemic,0.6390205371248026
128,50,mean_pooling,True,True,none,0.6390205371248026
128,50,mean_pooling,True,True,virus,0.6374407582938388
128,50,mean_pooling,True,True,pandemic,0.6345444971037388
128,50,mean_pooling,True,False,none,0.6340179041600843
128,50,mean_pooling,True,False,virus,0.6540284360189573
128,50,mean_pooling,True,False,pandemic,0.6448130595050027
128,50,mean_pooling,False,True,none,0.6261190100052659
128,50,mean_pooling,False,True,virus,0.6350710900473934
128,50,mean_pooling,False,True,pandemic,0.6484992101105845
128,50,mean_pooling,False,False,none,0.6358609794628752
128,50,mean_pooling,False,False,virus,0.6300684570826751
128,50,mean_pooling,False,False,pandemic,0.6255924170616114
256,30,hidden_state,True,True,none,0.5968931016324381
256,30,hidden_state,True,True,virus,0.6034755134281201
256,30,hidden_state,True,True,pandemic,0.5855713533438652
256,30,hidden_state,True,False,none,0.6032122169562928
256,30,hidden_state,True,False,virus,0.5860979462875198
256,30,hidden_state,True,False,pandemic,0.5961032122169563
256,30,hidden_state,False,True,none,0.5400210637177462
256,30,hidden_state,False,True,virus,0.5273828330700369
256,30,hidden_state,False,True,pandemic,0.536071616640337
256,30,hidden_state,False,False,none,0.5242232754081095
256,30,hidden_state,False,False,virus,0.5302790942601369
256,30,hidden_state,False,False,pandemic,0.5416008425487099
256,30,max_pooling,True,True,none,0.6248025276461295
256,30,max_pooling,True,True,virus,0.6411269088994207
256,30,max_pooling,True,True,pandemic,0.6261190100052659
256,30,max_pooling,True,False,none,0.6132174828857293
256,30,max_pooling,True,False,virus,0.6158504476040021
256,30,max_pooling,True,False,pandemic,0.624275934702475
256,30,max_pooling,False,True,none,0.5584518167456556
256,30,max_pooling,False,True,virus,0.5539757767245919
256,30,max_pooling,False,True,pandemic,0.5476566614007372
256,30,max_pooling,False,False,none,0.5534491837809373
256,30,max_pooling,False,False,virus,0.5589784096893101
256,30,max_pooling,False,False,pandemic,0.5747761979989469
256,30,mean_pooling,True,True,none,0.6063717746182201
256,30,mean_pooling,True,True,virus,0.6137440758293838
256,30,mean_pooling,True,True,pandemic,0.5992627698788836
256,30,mean_pooling,True,False,none,0.6016324381253291
256,30,mean_pooling,True,False,virus,0.6113744075829384
256,30,mean_pooling,True,False,pandemic,0.6008425487098473
256,30,mean_pooling,False,True,none,0.5466034755134281
256,30,mean_pooling,False,True,virus,0.5576619273301737
256,30,mean_pooling,False,True,pandemic,0.5463401790416008
256,30,mean_pooling,False,False,none,0.5489731437598736
256,30,mean_pooling,False,False,virus,0.5537124802527646
256,30,mean_pooling,False,False,pandemic,0.5500263296471827
256,50,hidden_state,True,True,none,0.5947867298578199
256,50,hidden_state,True,True,virus,0.6047919957872564
256,50,hidden_state,True,True,pandemic,0.5958399157451291
256,50,hidden_state,True,False,none,0.591100579252238
256,50,hidden_state,True,False,virus,0.6032122169562928
256,50,hidden_state,True,False,pandemic,0.6045286993154292
256,50,hidden_state,False,True,none,0.5797788309636651
256,50,hidden_state,False,True,virus,0.6003159557661928
256,50,hidden_state,False,True,pandemic,0.5713533438651922
256,50,hidden_state,False,False,none,0.5871511321748288
256,50,hidden_state,False,False,virus,0.5832016850974197
256,50,hidden_state,False,False,pandemic,0.5818852027382833
256,50,max_pooling,True,True,none,0.6263823064770933
256,50,max_pooling,True,True,virus,0.6216429699842022
256,50,max_pooling,True,True,pandemic,0.6253291205897841
256,50,max_pooling,True,False,none,0.6279620853080569
256,50,max_pooling,True,False,virus,0.619536598209584
256,50,max_pooling,True,False,pandemic,0.6171669299631385
256,50,max_pooling,False,True,none,0.6129541864139021
256,50,max_pooling,False,True,virus,0.6163770405476566
256,50,max_pooling,False,True,pandemic,0.6174302264349658
256,50,max_pooling,False,False,none,0.6240126382306477
256,50,max_pooling,False,False,virus,0.6190100052659294
256,50,max_pooling,False,False,pandemic,0.6145339652448657
256,50,mean_pooling,True,True,none,0.5950500263296472
256,50,mean_pooling,True,True,virus,0.6192733017377567
256,50,mean_pooling,True,True,pandemic,0.6171669299631385
256,50,mean_pooling,True,False,none,0.6142706687730385
256,50,mean_pooling,True,False,virus,0.6179568193786203
256,50,mean_pooling,True,False,pandemic,0.6140073723012112
256,50,mean_pooling,False,True,none,0.5942601369141653
256,50,mean_pooling,False,True,virus,0.5892575039494471
256,50,mean_pooling,False,True,pandemic,0.6000526592943655
256,50,mean_pooling,False,False,none,0.6024223275408109
256,50,mean_pooling,False,False,virus,0.6016324381253291
256,50,mean_pooling,False,False,pandemic,0.6029489204844655
