batch_size,max_length,pooling_method,use_stopwords,replace_username,replace_covid,best_val_accuracy
256,30,mean_pooling,True,True,pandemic,0.7317008952080042
256,30,mean_pooling,True,False,none,0.7303844128488678
256,30,mean_pooling,True,False,virus,0.7224855186940495
256,30,mean_pooling,True,False,pandemic,0.7309110057925223
256,30,mean_pooling,False,True,none,0.6498156924697209
256,30,mean_pooling,False,True,virus,0.6395471300684571
256,30,mean_pooling,False,True,pandemic,0.6350710900473934
256,30,mean_pooling,False,False,none,0.6387572406529752
256,30,mean_pooling,False,False,virus,0.6377040547656662
256,30,mean_pooling,False,False,pandemic,0.6445497630331753
256,50,hidden_state,True,True,none,0.7124802527646129
256,50,hidden_state,True,True,virus,0.7327540810953134
256,50,hidden_state,True,True,pandemic,0.7361769352290679
256,50,hidden_state,True,False,none,0.7338072669826224
256,50,hidden_state,True,False,virus,0.7274881516587678
256,50,hidden_state,True,False,pandemic,0.7214323328067404
256,50,hidden_state,False,True,none,0.7093206951026856
256,50,hidden_state,False,True,virus,0.7122169562927857
256,50,hidden_state,False,True,pandemic,0.7124802527646129
256,50,hidden_state,False,False,none,0.7137967351237493
256,50,hidden_state,False,False,virus,0.718272775144813
256,50,hidden_state,False,False,pandemic,0.7253817798841495
256,50,max_pooling,True,True,none,0.7417061611374408
256,50,max_pooling,True,True,virus,0.7380200105318588
256,50,max_pooling,True,True,pandemic,0.743812532912059
256,50,max_pooling,True,False,none,0.7406529752501316
256,50,max_pooling,True,False,virus,0.7330173775671406
256,50,max_pooling,True,False,pandemic,0.735387045813586
256,50,max_pooling,False,True,none,0.7498683517640864
256,50,max_pooling,False,True,virus,0.7403896787783044
256,50,max_pooling,False,True,pandemic,0.7411795681937862
256,50,max_pooling,False,False,none,0.7430226434965771
256,50,max_pooling,False,False,virus,0.7446024223275408
256,50,max_pooling,False,False,pandemic,0.7338072669826224
256,50,mean_pooling,True,True,none,0.7280147446024223
256,50,mean_pooling,True,True,virus,0.7322274881516587
256,50,mean_pooling,True,True,pandemic,0.7151132174828857
256,50,mean_pooling,True,False,none,0.7238020010531859
256,50,mean_pooling,True,False,virus,0.7261716692996314
256,50,mean_pooling,True,False,pandemic,0.7224855186940495
256,50,mean_pooling,False,True,none,0.7422327540810953
256,50,mean_pooling,False,True,virus,0.7414428646656135
256,50,mean_pooling,False,True,pandemic,0.7422327540810953
256,50,mean_pooling,False,False,none,0.75144813059505
256,50,mean_pooling,False,False,virus,0.7417061611374408
256,50,mean_pooling,False,False,pandemic,0.7451290152711953
